AB:NVDA, WFC, NKE, NFLX, JNJ, ADBE, V, T, MSFT, KO, DAL, BAC, PYPL, PEP, XOM
CD:CCL, NVDA, PEP, AAPL, WMT, XOM, AMZN, META, MSFT, NKE, JPM, KO, PYPL, AMD, UAL
EF:UBER, GM, F, SBUX, AMD, DAL, GS, PLTR, AAPL, V, AMZN, MSFT, WMT, TSLA, COST
GH:MSFT, MGM, ADBE, LMT, ABBV, AMZN, UAL, MRNA, GM, DIS, AAPL, CSCO, PEP, V, NVDA
IJ:PEP, KO, DIS, FDX, TSLA, CSCO, COST, WFC, JPM, NVDA, GOOGL, AAPL, PYPL, PLTR, JNJ
KL:VZ, GOOGL, KO, WFC, UBER, ADBE, DIS, PYPL, AMZN, ABBV, GM, UNH, NKE, AAPL, JNJ
MN:SBUX, PEP, GS, TSLA, CARR, NFLX, MRNA, AAPL, V, UBER, AMD, PFE, MSFT, PYPL, BA
OP:TGT, CARR, AMZN, NFLX, GS, MGM, COST, WBA, DIS, WMT, UNH, NKE, GM, WFC, CSCO
QR:PYPL, NFLX, AMZN, COST, GE, META, MGM, NVDA, PLTR, DIS, CSCO, JPM, C, CVX, SBUX
ST:MSFT, NVDA, PEP, PLTR, KO, PFE, JPM, DAL, BA, COST, DIS, INTC, WBA, ADBE, V
UV:T, BA, UBER, JNJ, AMZN, META, VZ, PLTR, SBUX, PYPL, GS, UNH, TSLA, NVDA, INTC
WX:CSCO, MRNA, NKE, MSFT, COST, BA, HCA, NVDA, AMZN, GOOGL, ADBE, AMD, JNJ, DAL, PEP
YZ:PFE, MSFT, V, VZ, JPM, AAPL, GOOGL, AMZN, BA, TSLA, ADBE, PLTR, PYPL, CSCO, BAC
